symbol,bid_size,bid,ask,ask_size,last,change,open,high,low,previous_close,turnover,volume,operations,datetime,expiration,strike,kind,underlying_asset
COMC152.JU,62.0,5.375,,,,,,,,,,,,,2024-06-19,152.0,CALL,COME
COMC158.JU,12.0,4.04,,,,,,,,,,,,,2024-06-19,158.0,CALL,COME
COMC164.JU,58.0,2.975,,,,,,,,,,,,,2024-06-19,164.0,CALL,COME
COMV164.JU,20.0,0.1,,,,,,,,,,,,,2024-06-19,164.0,PUT,COME
COMV96.0AG,51.0,0.347,,,,,,,,,,,,,2024-08-16,96.0,PUT,COME
COMV108.AG,20.0,1.74,,,,,,,,,,,,,2024-08-16,108.0,PUT,COME
COMC128.AG,53.0,22.6,,,,,,,,,,,,,2024-08-16,128.0,CALL,COME
COMC134.AG,52.0,20.65,,,,,,,,,,,,,2024-08-16,134.0,CALL,COME
COMC140.AG,45.0,18.835,,,,,,,,,,,,,2024-08-16,140.0,CALL,COME
COMC146.AG,45.0,16.901,,,,,,,,,,,,,2024-08-16,146.0,CALL,COME
COMC152.AG,56.0,14.25,,,,,,,,,,,,,2024-08-16,152.0,CALL,COME
COMC158.AG,48.0,12.195,,,,,,,,,,,,,2024-08-16,158.0,CALL,COME
COMC164.AG,70.0,14.0,,,,,,,,,,,,,2024-08-16,164.0,CALL,COME
CREC720.AB,,,,,,,,,,520.0,,,,,2024-04-19,720.0,CALL,CRES
CREC950.AB,1.0,98.5,,,,,,,,220.0,,,,,2024-04-19,950.0,CALL,CRES
CREV950.AB,1.0,20.0,62.8,3.0,,,,,,28.7,,,,,2024-04-19,950.0,PUT,CRES
CREV1000AB,1.0,25.0,,,,,,,,,,,,,2024-04-19,1000.0,PUT,CRES
CREV1050AB,1.0,87.4,,,,,,,,,,,,,2024-04-19,1050.0,PUT,CRES
CREV1100AB,1.0,71.88,,,,,,,,11.98,,,,,2024-04-19,1100.0,PUT,CRES
CREC1150AB,3.0,67.0,400.0,15.0,,,,,,67.0,,,,,2024-04-19,1150.0,CALL,CRES
CREC1250AB,3.0,16.48,,,,,,,,,,,,,2024-04-19,1250.0,CALL,CRES
CREC1300AB,8.0,15.0,,,,,,,,18.0,,,,,2024-04-19,1300.0,CALL,CRES
CREC1350AB,,,,,,,,,,129.0,,,,,2024-04-19,1350.0,CALL,CRES
CREC1400AB,,,,,,,,,,240.0,,,,,2024-04-19,1400.0,CALL,CRES
CREC1000JU,1.0,160.5,,,,,,,,,,,,,2024-06-19,1000.0,CALL,CRES
CREC1050JU,1.0,143.1,,,,,,,,,,,,,2024-06-19,1050.0,CALL,CRES
CREV1050JU,1.0,43.859,,,,,,,,7.31,,,,,2024-06-19,1050.0,PUT,CRES
CREC1150JU,1.0,101.0,,,,,,,,,,,,,2024-06-19,1150.0,CALL,CRES
CREC1200JU,,,,,,,,,,200.0,,,,,2024-06-19,1200.0,CALL,CRES
CREC1250JU,1.0,75.6,,,,,,,,,,,,,2024-06-19,1250.0,CALL,CRES
CREC1300JU,1.0,64.4,,,,,,,,,,,,,2024-06-19,1300.0,CALL,CRES
CREC1350JU,1.0,55.2,,,,,,,,337.2,,,,,2024-06-19,1350.0,CALL,CRES
CREC1400JU,1.0,48.2,,,,,,,,350.0,,,,,2024-06-19,1400.0,CALL,CRES
CREC1150AG,1.0,160.7,,,,,,,,,,,,,2024-08-16,1150.0,CALL,CRES
CREC1300AG,1.0,106.5,,,,,,,,,,,,,2024-08-16,1300.0,CALL,CRES
CREC1350AG,1.0,92.0,,,,,,,,,,,,,2024-08-16,1350.0,CALL,CRES
CREC1400AG,1.0,80.9,,,,,,,,,,,,,2024-08-16,1400.0,CALL,CRES
DGCC1000AB,5.0,146.6,260.7,10.0,,,,,,,,,,,2024-04-19,1000.0,CALL,DGCU2
DGCC1100AB,1.0,62.4,218.0,10.0,,,,,,,,,,,2024-04-19,1100.0,CALL,DGCU2
DGCC1200AB,1.0,34.9,181.5,10.0,,,,,,,,,,,2024-04-19,1200.0,CALL,DGCU2
DGCC1300AB,2.0,17.26,,,,,,,,,,,,,2024-04-19,1300.0,CALL,DGCU2
DGCC1400AB,4.0,7.78,,,,,,,,,,,,,2024-04-19,1400.0,CALL,DGCU2
DGCC1500AB,7.0,2.99,,,,,,,,,,,,,2024-04-19,1500.0,CALL,DGCU2
DGCC1100JU,1.0,156.9,,,,,,,,,,,,,2024-06-19,1100.0,CALL,DGCU2
DGCC1200JU,1.0,113.6,,,,,,,,,,,,,2024-06-19,1200.0,CALL,DGCU2
DGCC1300JU,1.0,79.5,,,,,,,,,,,,,2024-06-19,1300.0,CALL,DGCU2
DGCC1400JU,1.0,57.6,,,,,,,,,,,,,2024-06-19,1400.0,CALL,DGCU2
DGCC1500JU,1.0,41.4,,,,,,,,,,,,,2024-06-19,1500.0,CALL,DGCU2
EDNC1200MA,3.0,24.0,,,,,,,,,,,,,2024-03-15,1200.0,CALL,EDN
EDNC1100AB,,,,,,,,,,300.0,,,,,2024-04-19,1100.0,CALL,EDN
EDNV1100AB,2.0,28.703,,,,,,,,,,,,,2024-04-19,1100.0,PUT,EDN
EDNC1150AB,1.0,87.5,,,,,,,,,,,,,2024-04-19,1150.0,CALL,EDN
EDNV1150AB,1.0,51.9,,,,,,,,,,,,,2024-04-19,1150.0,PUT,EDN
EDNV1200AB,2.0,7.5,,,,,,,,,,,,,2024-04-19,1200.0,PUT,EDN
EDNC1500AB,3.0,12.61,,,,,,,,,,,,,2024-04-19,1500.0,CALL,EDN
EDNC1700AB,10.0,2.49,,,,,,,,,,,,,2024-04-19,1700.0,CALL,EDN
EDNC1300JU,1.0,134.0,,,,,,,,,,,,,2024-06-19,1300.0,CALL,EDN
EDNC1500JU,1.0,73.8,,,,,,,,,,,,,2024-06-19,1500.0,CALL,EDN
EDNV1100AG,1.0,28.4,,,,,,,,,,,,,2024-08-16,1100.0,PUT,EDN
EDNC1400AG,1.0,178.4,,,,,,,,,,,,,2024-08-16,1400.0,CALL,EDN
EDNC1700AG,1.0,85.7,,,,,,,,,,,,,2024-08-16,1700.0,CALL,EDN
